ind,t,lon,lat
3,27.1506,13.4474,52.5040
3,28.7876,13.4474,52.5040
3,29.9057,13.3682,52.5487
3,31.1072,13.4474,52.5040
3,32.6479,13.4474,52.5040
3,33.9554,13.4474,52.5040
3,35.6645,13.4474,52.5040
3,37.5291,13.4723,52.5119
3,39.2086,13.4715,52.5205
3,40.3098,13.4198,52.5124
3,41.3173,13.3331,52.5300
3,42.4725,13.3601,52.5526
3,45.3198,13.4474,52.5040
3,52.6997,13.4474,52.5040
3,53.9475,13.4474,52.5040
3,55.2301,13.4474,52.5040
3,56.9347,13.2390,52.5164
3,58.6760,13.2611,52.5156
3,60.2397,13.4474,52.5040
3,61.5435,13.4388,52.5045
3,62.6140,13.4851,52.4637
3,63.8902,13.5476,52.4382
3,65.5678,13.5531,52.4439
3,67.4386,13.4474,52.5040
3,75.0082,13.4474,52.5040
4,0.0000,13.4075,52.5237
4,2.3245,13.5819,52.5067
4,4.2590,13.3817,52.5243
4,5.9936,13.5819,52.5067
4,7.3649,13.5819,52.5067
4,8.6572,13.5819,52.5067
4,10.5302,13.4076,52.5247
4,12.1528,13.4076,52.5247
4,14.0079,13.3917,52.5261
4,15.0969,13.4076,52.5247
4,16.4706,13.3917,52.5261
4,17.8391,13.3674,52.5247
4,20.0351,13.4076,52.5247
4,28.3959,13.4087,52.5231
4,30.1638,13.5819,52.5067
4,31.6957,13.4076,52.5247
4,32.8665,13.5819,52.5067
4,34.2826,13.5819,52.5067
4,35.7737,13.3674,52.5247
4,37.3107,13.3918,52.4986
4,39.1129,13.4122,52.5213
4,40.3046,13.3711,52.5228
4,41.5616,13.4087,52.5231
4,42.7647,13.4050,52.5250
4,43.9148,13.4076,52.5247
4,52.1157,13.4117,52.5231
4,54.0933,13.5819,52.5067
4,55.9617,13.4198,52.5124
4,57.0604,13.5819,52.5067
4,58.3665,13.5819,52.5067
4,59.5610,13.5669,52.5297
4,60.6225,13.5600,52.5293
4,61.6653,13.5765,52.5397
4,62.7911,13.4293,52.5092
4,64.5367,13.4025,52.5193
4,65.7092,13.4068,52.5247
4,67.5977,13.4125,52.5221
4,74.2471,13.4135,52.5227
5,0.0000,13.3601,52.5045
5,2.3716,13.3650,52.5027
5,4.7764,13.3601,52.5045
5,5.9819,13.3614,52.5040
5,7.6856,13.3540,52.5123
5,9.3184,13.3453,52.5074
5,10.8978,13.3601,52.5045
5,12.5009,13.3506,52.5142
5,14.0395,13.3721,52.5032
5,15.6195,13.3804,52.5029
5,16.6245,13.3506,52.5142
5,17.7746,13.3292,52.5034
5,19.1164,13.3292,52.5034
5,27.0739,13.3730,52.5032
5,28.1313,13.3730,52.5000
5,29.8295,13.3730,52.5032
5,31.3567,13.3676,52.5051
5,33.1123,13.3735,52.5090
5,34.8580,13.3730,52.5032
5,36.0603,13.3601,52.5045
5,37.3536,13.3498,52.5156
5,39.0011,13.3292,52.5034
5,40.5757,13.3601,52.5045
5,42.3944,13.4209,52.4896
5,43.5531,13.3506,52.5142
5,44.8635,13.3721,52.5160
5,46.2964,13.3969,52.5172
5,52.4972,13.3938,52.5176
5,54.1048,13.3601,52.5045
5,55.6664,13.3601,52.5045
5,57.4806,13.3676,52.5051
5,58.8073,13.3601,52.5045
5,59.9139,13.3479,52.5169
5,61.8203,13.3721,52.5032
5,63.6352,13.3601,52.5045
5,64.8936,13.3601,52.5045
5,65.9633,13.4130,52.5215
5,67.7830,13.4147,52.5225
5,69.1083,13.3601,52.5045
6,0.0000,13.5465,52.5741
6,3.5027,13.5653,52.5713
6,5.6379,13.5653,52.5713
6,7.1097,13.5893,52.5633
6,8.2794,13.5653,52.5713
6,9.7979,13.5893,52.5633
6,10.9774,13.5970,52.5496
6,12.4287,13.5428,52.5169
6,13.8023,13.5653,52.5713
6,15.6360,13.5465,52.5741
6,16.8237,13.5465,52.5741
6,18.1027,13.5199,52.5782
6,19.2555,13.5893,52.5633
6,27.4781,13.5653,52.5713
6,29.6310,13.5970,52.5496
6,31.4440,13.5893,52.5633
6,32.7845,13.5748,52.5817
6,34.4875,13.5199,52.5782
6,35.5525,13.5893,52.5633
6,36.9525,13.5906,52.5619
6,38.2722,13.5653,52.5713
6,39.6839,13.5653,52.5713
6,40.8286,13.5653,52.5713
6,42.4033,13.4732,52.5054
6,45.7673,13.5013,52.5130
6,51.9851,13.5465,52.5741
6,53.1555,13.5465,52.5741
6,54.3460,13.5653,52.5713
6,55.6752,13.5653,52.5713
6,56.9970,13.5893,52.5633
6,58.0739,13.5465,52.5741
6,59.3921,13.5653,52.5713
6,60.9932,13.5653,52.5713
6,62.8780,13.5906,52.5619
6,64.2743,13.5653,52.5713
6,65.5218,13.5653,52.5713
6,67.1212,13.5653,52.5713
6,68.1236,13.5552,52.5533
7,0.0000,13.4146,52.4932
7,4.1901,13.4334,52.4958
7,5.8026,13.4334,52.4958
7,7.5871,13.4334,52.4958
7,8.8812,13.4334,52.4958
7,10.2140,13.4333,52.4948
7,11.3246,13.4424,52.5009
7,12.5449,13.4334,52.4958
7,14.1268,13.4333,52.4948
7,15.6944,13.4219,52.5000
7,16.7018,13.4262,52.4990
7,18.5818,13.4334,52.4958
7,20.3245,13.4692,52.4887
7,28.0281,13.4529,52.4882
7,29.5751,13.4731,52.4787
7,30.6542,13.4334,52.4958
7,31.6927,13.4145,52.5017
7,33.0894,13.4923,52.4633
7,34.2363,13.4791,52.4746
7,35.4077,13.4334,52.4958
7,36.4989,13.4326,52.4949
7,37.8735,13.4219,52.5000
7,39.0729,13.4923,52.4633
7,40.7489,13.4875,52.4640
7,42.3439,13.4333,52.4948
7,44.5330,13.4251,52.4933
7,46.0302,13.4333,52.4948
7,52.4062,13.4923,52.4633
7,53.7834,13.4334,52.4958
7,54.8783,13.4363,52.4904
7,56.7446,13.4334,52.4958
7,58.5644,13.4219,52.5000
7,59.6781,13.4333,52.4948
7,61.2464,13.4334,52.4958
7,62.7103,13.4334,52.4958
7,64.1234,13.4351,52.4961
7,65.6432,13.4088,52.4944
7,67.4147,13.4333,52.4948
7,68.4451,13.4326,52.4949
8,0.0000,13.4194,52.5000
8,3.7265,13.3960,52.5289
8,5.1985,13.3960,52.5289
8,6.3849,13.3960,52.5289
8,8.1005,13.3960,52.5289
8,9.4537,13.3752,52.5551
8,11.0244,13.3590,52.5452
8,12.0863,13.3326,52.5051
8,13.4296,13.3755,52.5082
8,15.0744,13.3994,52.5317
8,16.3837,13.3960,52.5289
8,17.5052,13.3661,52.5334
8,19.3685,13.3710,52.5211
8,27.6680,13.4500,52.5066
8,29.7954,13.4702,52.5060
8,31.4299,13.3661,52.5334
8,33.1744,13.3960,52.5289
8,34.8573,13.3960,52.5289
8,36.7826,13.3939,52.5290
8,38.0294,13.3641,52.5632
8,39.2037,13.3939,52.5290
8,40.2688,13.3688,52.5339
8,41.6314,13.4500,52.5066
8,43.4713,13.4500,52.5066
8,50.8897,13.4592,52.5057
8,51.9385,13.3960,52.5289
8,53.5570,13.4592,52.5057
8,54.7696,13.4500,52.5066
8,55.7971,13.3960,52.5289
8,57.4418,13.3960,52.5289
8,59.3083,13.4749,52.5078
8,61.2403,13.4530,52.5139
8,62.2580,13.3641,52.5632
8,63.8234,13.3373,52.5706
8,65.0803,13.3939,52.5290
8,66.6708,13.3326,52.5051
8,67.7314,13.4702,52.5060
8,75.3524,13.4482,52.5049
9,0.0000,13.5155,52.3855
9,3.9274,13.5422,52.3941
9,5.0790,13.5188,52.3882
9,7.0110,13.4330,52.5232
9,8.5742,13.5422,52.3941
9,9.8186,13.5198,52.3884
9,11.2508,13.5417,52.4127
9,12.3656,13.5716,52.4107
9,13.9040,13.5422,52.3941
9,14.9623,13.5112,52.3654
9,16.4459,13.4011,52.5204
9,17.6897,13.4344,52.5294
9,18.8120,13.4011,52.5204
9,22.4105,13.3918,52.4922
9,28.7510,13.3168,52.5122
9,30.5701,13.4011,52.5204
9,31.6979,13.4011,52.5204
9,33.3764,13.4011,52.5204
9,34.9147,13.4011,52.5204
9,36.8070,13.5155,52.3855
9,38.4547,13.4011,52.5204
9,39.5130,13.5422,52.3941
9,41.2510,13.4330,52.5232
9,42.4230,13.5155,52.3855
9,45.3940,13.4011,52.5204
9,52.1133,13.4009,52.5182
9,53.3933,13.4011,52.5204
9,54.5782,13.5422,52.3941
9,55.7480,13.5424,52.3933
9,57.5265,13.4924,52.3856
9,59.1339,13.5102,52.4007
9,60.8003,13.4011,52.5204
9,62.5989,13.4330,52.5232
9,64.2855,13.5155,52.3855
9,65.4653,13.5422,52.3941
9,67.1434,13.5422,52.3941
9,75.0883,13.4011,52.5204
